epoch,train_loss,val_loss,val_qwk,val_accuracy,val_balanced_accuracy,val_f1_macro,val_auc_macro,val_qwk_smoothed,thresholds,lr,epoch_seconds
1,1.2858,1.07508,0.8125,0.7036,0.5151,0.4804,0.9084,0.8125,,0.0003,59.1
2,1.01928,0.87524,0.8303,0.7164,0.6405,0.5726,0.9188,0.8214,,0.00029963,43.2
3,0.95802,0.81674,0.8556,0.7909,0.6294,0.632,0.9322,0.8328,,0.0002985,43.3
4,0.92248,0.79254,0.8554,0.7855,0.6816,0.665,0.9393,0.8471,,0.00029662,43.2
5,0.85386,0.7116,0.8783,0.7909,0.6665,0.6492,0.9436,0.8631,,0.00029401,43.3
6,0.79182,0.80129,0.8638,0.7727,0.6516,0.6266,0.9407,0.86583,,0.00029066,42.7
7,0.81626,0.81589,0.8738,0.8182,0.6318,0.6457,0.9366,0.87197,,0.00028661,42.6
8,0.73894,0.83495,0.8963,0.7909,0.694,0.6533,0.9344,0.87797,,0.00028187,42.9
9,0.77234,0.75035,0.9139,0.7945,0.6787,0.6529,0.9456,0.89467,,0.00027647,43.5
10,0.73083,0.8427,0.8702,0.7655,0.6538,0.6118,0.9372,0.89347,,0.00027042,43.2
11,0.66749,0.88825,0.894,0.8036,0.6558,0.6526,0.9349,0.8927,,0.00026378,42.8
12,0.70069,0.76272,0.9078,0.8018,0.6807,0.6564,0.9437,0.89067,,0.00025656,42.7
13,0.6566,0.85925,0.8827,0.7982,0.6395,0.6386,0.9434,0.89483,,0.0002488,43.0
14,0.64561,0.82556,0.8999,0.7891,0.6812,0.6564,0.9441,0.8968,,0.00024055,42.6
15,0.62019,0.905,0.8871,0.8218,0.6349,0.6519,0.9405,0.8899,,0.00023185,43.2
16,0.60761,0.89889,0.883,0.8018,0.6661,0.6537,0.9385,0.89,,0.00022273,42.5
17,0.63355,0.85944,0.8906,0.7964,0.6791,0.6576,0.9442,0.8869,,0.00021326,42.8
18,0.59825,0.857,0.8842,0.8,0.6981,0.6713,0.9408,0.88593,,0.00020346,42.7
19,0.57762,0.80169,0.8974,0.8309,0.6912,0.6962,0.9458,0.89073,,0.00019341,43.1
20,0.53524,0.95871,0.8928,0.8236,0.6688,0.6779,0.9421,0.89147,,0.00018314,43.0
21,0.5138,0.8719,0.8776,0.7782,0.6566,0.6361,0.9417,0.88927,,0.00017271,43.2
22,0.49789,0.89501,0.9026,0.8036,0.6944,0.6715,0.9407,0.891,,0.00016217,42.2
23,0.51105,0.88759,0.9003,0.8036,0.6874,0.6781,0.9397,0.8935,,0.00015157,42.8
24,0.48025,0.94625,0.8918,0.7964,0.6902,0.6655,0.9459,0.89823,,0.00014098,43.5
25,0.45007,0.97139,0.9063,0.8091,0.6803,0.6664,0.9325,0.89947,,0.00013044,43.6
26,0.43372,0.95245,0.901,0.7909,0.6834,0.6574,0.9414,0.8997,,0.00012001,43.4
27,0.40872,1.12099,0.9096,0.8127,0.6619,0.6643,0.9309,0.90563,,0.00010973,43.5
28,0.39544,0.96539,0.905,0.8218,0.6868,0.6855,0.9393,0.9052,,9.967e-05,43.5
29,0.36559,0.97335,0.9003,0.8182,0.6843,0.6846,0.9429,0.90497,,8.988e-05,43.5
30,0.35398,1.01348,0.9054,0.8073,0.6899,0.6717,0.9367,0.90357,,8.04e-05,44.5
31,0.35476,0.95237,0.9063,0.8109,0.689,0.6748,0.9407,0.904,,7.128e-05,44.5
32,0.32764,1.11949,0.9081,0.8036,0.6882,0.6663,0.9396,0.9066,,6.257e-05,46.6
33,0.28787,1.16033,0.8959,0.8,0.6753,0.6603,0.9319,0.90343,,5.431e-05,62.1
34,0.2911,1.1125,0.9008,0.8218,0.6924,0.6936,0.9395,0.9016,,4.655e-05,51.4
35,0.2671,1.26936,0.9007,0.8273,0.6943,0.6956,0.9337,0.89913,,3.932e-05,50.3
36,0.2483,1.26086,0.8987,0.8145,0.6736,0.6751,0.9328,0.90007,,3.266e-05,44.6
37,0.26366,1.33876,0.9015,0.8164,0.6854,0.6801,0.9304,0.9003,,2.661e-05,43.3
38,0.24907,1.24667,0.9015,0.8055,0.6731,0.6666,0.9348,0.90057,,2.12e-05,43.5
39,0.2718,1.28918,0.8941,0.7982,0.6541,0.6523,0.9341,0.89903,,1.645e-05,42.6
40,0.21545,1.39314,0.9099,0.8236,0.681,0.6857,0.9325,0.90183,,1.239e-05,43.2
41,0.20314,1.24612,0.9051,0.8145,0.6818,0.6779,0.9322,0.90303,,9.04e-06,43.7
42,0.23874,1.41776,0.9017,0.8218,0.6926,0.6909,0.9275,0.90557,,6.41e-06,44.1
43,0.20017,1.20417,0.9052,0.8255,0.6902,0.6912,0.9374,0.904,,4.52e-06,43.7
44,0.21335,1.31297,0.9038,0.8164,0.6662,0.6619,0.9325,0.90357,,3.38e-06,42.5
