epoch,train_loss,val_loss,val_qwk,val_accuracy,val_balanced_accuracy,val_f1_macro,val_auc_macro,val_qwk_smoothed,thresholds,lr,epoch_seconds
1,1.27688,0.94617,0.8202,0.7564,0.5743,0.5698,0.9148,0.8202,,0.0003,79.7
2,0.96598,0.81732,0.8695,0.7764,0.6528,0.6313,0.9303,0.84485,,0.00029963,59.0
3,0.90782,0.92789,0.8447,0.8127,0.6406,0.6473,0.9209,0.8448,,0.0002985,59.2
4,0.85107,0.87936,0.8598,0.7764,0.6256,0.6217,0.928,0.858,,0.00029662,59.1
5,0.78683,0.76177,0.8488,0.7436,0.6661,0.6102,0.9375,0.8511,,0.00029401,59.3
6,0.74193,0.817,0.8687,0.7782,0.6661,0.6405,0.9399,0.8591,,0.00029066,57.9
7,0.7311,0.78754,0.9058,0.8164,0.6716,0.6705,0.9407,0.87443,,0.00028661,61.0
8,0.64456,0.94227,0.9135,0.8073,0.662,0.6532,0.9264,0.896,,0.00028187,62.4
9,0.66625,0.74365,0.8888,0.7836,0.68,0.6435,0.9413,0.9027,,0.00027647,56.1
10,0.64373,0.82138,0.903,0.7873,0.6868,0.6475,0.9403,0.90177,,0.00027042,43.9
11,0.58431,0.88859,0.9056,0.82,0.6939,0.6835,0.9384,0.89913,,0.00026378,43.8
12,0.58811,0.75439,0.9036,0.8145,0.6841,0.6704,0.9447,0.90407,,0.00025656,44.7
13,0.51387,1.0142,0.8911,0.8,0.6234,0.6345,0.9353,0.9001,,0.0002488,45.5
14,0.49895,0.94932,0.8972,0.7745,0.6477,0.6271,0.9309,0.8973,,0.00024055,43.2
15,0.49007,1.0137,0.9069,0.8273,0.6456,0.6675,0.9272,0.8984,,0.00023185,43.1
16,0.41025,1.07876,0.8842,0.8036,0.6466,0.6502,0.9301,0.8961,,0.00022273,43.4
17,0.40847,0.99878,0.9057,0.7782,0.6465,0.6283,0.9377,0.89893,,0.00021326,43.8
18,0.39008,1.05428,0.8757,0.8109,0.6354,0.6509,0.937,0.88853,,0.00020346,43.8
19,0.36108,1.14711,0.8953,0.8127,0.6643,0.6611,0.9327,0.89223,,0.00019341,43.3
20,0.31887,1.11773,0.888,0.8218,0.6479,0.6699,0.9421,0.88633,,0.00018314,43.6
21,0.28813,1.40485,0.8853,0.7873,0.6418,0.6285,0.9231,0.88953,,0.00017271,43.5
22,0.27585,1.38869,0.9029,0.8091,0.6589,0.6582,0.9331,0.89207,,0.00016217,43.7
23,0.2787,1.29766,0.8987,0.8018,0.6889,0.6663,0.9302,0.89563,,0.00015157,43.0
24,0.20785,1.60335,0.8956,0.7818,0.6363,0.6181,0.9262,0.89907,,0.00014098,42.3
