epoch,train_loss,val_loss,val_qwk,val_accuracy,val_balanced_accuracy,val_f1_macro,val_auc_macro,val_qwk_smoothed,thresholds,lr,epoch_seconds
1,0.35951,0.21401,0.8346,0.6164,0.5103,0.4333,0.8449,0.8346,0.733|1.421|2.177|3.999,0.0003,76.4
2,0.22782,0.17927,0.8711,0.7109,0.5343,0.487,0.8479,0.85285,0.585|0.875|2.358|3.951,0.00029963,54.2
3,0.18509,0.18605,0.8952,0.7527,0.5624,0.5534,0.8857,0.86697,1.010|1.358|2.947|3.645,0.0002985,44.0
4,0.16966,0.22754,0.9067,0.7345,0.575,0.5562,0.8879,0.891,0.632|1.050|2.564|4.444,0.00029662,43.9
5,0.14202,0.17749,0.8903,0.7255,0.5643,0.5355,0.8712,0.8974,0.535|0.877|2.091|3.229,0.00029401,43.7
6,0.13907,0.16438,0.9018,0.7618,0.6067,0.5859,0.8832,0.8996,0.179|0.900|2.443|3.500,0.00029066,44.6
7,0.13204,0.15616,0.8993,0.7436,0.5896,0.5661,0.9006,0.89713,0.662|1.230|2.287|3.018,0.00028661,44.7
8,0.12149,0.19528,0.8971,0.7655,0.6001,0.5705,0.9124,0.8994,0.913|1.375|2.759|4.374,0.00028187,43.8
9,0.12016,0.15053,0.9024,0.6964,0.577,0.5322,0.89,0.8996,0.694|1.284|2.364|3.936,0.00027647,44.1
10,0.12013,0.16227,0.9054,0.7236,0.6309,0.5824,0.8974,0.90163,0.532|1.138|1.964|3.230,0.00027042,43.4
11,0.11053,0.16241,0.9097,0.7255,0.612,0.5745,0.9129,0.90583,0.668|1.291|2.101|3.347,0.00026378,44.0
12,0.10187,0.15417,0.9112,0.7655,0.6368,0.6094,0.921,0.90877,0.602|1.251|2.289|3.262,0.00025656,43.2
13,0.09689,0.15954,0.9086,0.7618,0.6371,0.6031,0.9077,0.90983,0.315|0.991|2.218|3.500,0.0002488,43.2
14,0.09237,0.16923,0.9124,0.8127,0.6921,0.6644,0.9374,0.91073,0.702|1.627|2.782|3.784,0.00024055,43.0
15,0.0861,0.18218,0.9006,0.7945,0.6024,0.6059,0.9227,0.9072,0.732|0.993|2.387|3.084,0.00023185,43.4
16,0.08252,0.15684,0.9102,0.7891,0.6647,0.6382,0.9217,0.90773,0.668|1.406|2.635|3.455,0.00022273,43.1
17,0.08283,0.13125,0.9112,0.8236,0.6738,0.6723,0.9277,0.90733,0.670|1.216|2.897|3.669,0.00021326,44.0
18,0.07904,0.18552,0.9154,0.7927,0.669,0.6436,0.9246,0.91227,0.500|1.250|2.243|3.466,0.00020346,43.4
19,0.07053,0.16691,0.9079,0.7545,0.6403,0.6016,0.9231,0.9115,0.791|1.740|2.689|3.876,0.00019341,43.1
20,0.06487,0.1906,0.8948,0.7327,0.6159,0.5647,0.9012,0.90603,0.644|1.231|2.309|3.778,0.00018314,43.3
21,0.06208,0.14993,0.9079,0.7836,0.6066,0.5928,0.919,0.90353,0.663|1.150|2.549|3.500,0.00017271,42.7
22,0.05959,0.15448,0.9079,0.7418,0.6494,0.6031,0.9002,0.90353,0.560|1.312|2.354|3.569,0.00016217,43.0
23,0.06151,0.13762,0.914,0.8036,0.6636,0.6604,0.9278,0.90993,0.771|1.297|2.641|3.167,0.00015157,43.8
24,0.05602,0.13717,0.921,0.8164,0.702,0.684,0.9283,0.9143,0.500|1.234|2.578|3.170,0.00014098,43.7
25,0.04661,0.14062,0.9139,0.7964,0.644,0.6348,0.9239,0.9163,0.680|1.270|2.688|3.574,0.00013044,43.4
26,0.0436,0.15624,0.9203,0.8164,0.6853,0.6771,0.9253,0.9184,0.500|1.146|2.539|3.158,0.00012001,43.1
27,0.04304,0.14723,0.9108,0.8091,0.6889,0.6726,0.9354,0.915,0.630|1.480|2.612|3.249,0.00010973,43.0
28,0.03708,0.12464,0.9173,0.8127,0.6735,0.6652,0.9313,0.91613,0.588|1.248|2.790|3.500,9.967e-05,43.8
29,0.03304,0.14358,0.9115,0.8109,0.6588,0.6423,0.93,0.9132,0.716|1.233|2.728|3.763,8.988e-05,43.7
30,0.03228,0.15665,0.9157,0.8182,0.6839,0.6732,0.9347,0.91483,0.514|1.378|2.848|3.626,8.04e-05,43.6
31,0.03002,0.13507,0.9132,0.7782,0.6659,0.6374,0.9297,0.91347,0.673|1.411|2.516|3.438,7.128e-05,43.8
32,0.03041,0.15226,0.9146,0.7909,0.6465,0.6317,0.931,0.9145,0.654|1.246|2.500|3.539,6.257e-05,43.6
33,0.02483,0.14749,0.9125,0.7945,0.641,0.6258,0.9241,0.91343,0.680|1.140|2.650|3.832,5.431e-05,45.1
34,0.02363,0.14082,0.9153,0.8291,0.6703,0.6742,0.9344,0.91413,0.615|1.288|2.745|3.362,4.655e-05,44.6
35,0.02389,0.14544,0.9147,0.8,0.654,0.6456,0.9251,0.91417,0.500|1.123|2.500|3.500,3.932e-05,44.2
36,0.02384,0.13798,0.9124,0.7873,0.6457,0.6336,0.9197,0.91413,0.621|1.095|2.397|3.166,3.266e-05,42.8
37,0.02133,0.14306,0.916,0.8073,0.663,0.6556,0.9271,0.91437,0.661|1.154|2.448|3.372,2.661e-05,57.0
38,0.02108,0.13425,0.9157,0.82,0.6574,0.6644,0.9315,0.9147,0.611|1.153|2.728|3.433,2.12e-05,58.7
