epoch,train_loss,val_loss,val_qwk,val_accuracy,val_balanced_accuracy,val_f1_macro,val_auc_macro,val_qwk_smoothed,thresholds,lr,epoch_seconds
1,0.36634,0.23484,0.8318,0.5927,0.4707,0.4019,0.8228,0.8318,0.666|1.082|1.587|3.400,0.0003,59.8
2,0.22807,0.30713,0.8617,0.7236,0.549,0.5333,0.8565,0.84675,0.601|1.368|3.178|4.823,0.00029963,43.6
3,0.20694,0.19731,0.8453,0.6527,0.5236,0.4717,0.867,0.84627,0.789|1.452|2.189|3.443,0.0002985,44.4
4,0.1804,0.20649,0.8947,0.7018,0.5502,0.4917,0.8822,0.86723,0.734|1.287|2.540|4.900,0.00029662,43.8
5,0.16292,0.17061,0.8901,0.7,0.557,0.5002,0.873,0.8767,0.326|0.943|2.088|3.805,0.00029401,44.0
6,0.1704,0.15059,0.9014,0.7455,0.6183,0.5808,0.9103,0.8954,0.773|1.455|2.532|3.824,0.00029066,43.6
7,0.15581,0.19161,0.8948,0.7127,0.5506,0.5322,0.8846,0.89543,1.033|1.448|2.655|3.975,0.00028661,44.0
8,0.13956,0.19894,0.9018,0.7236,0.5292,0.4754,0.8928,0.89933,1.100|1.148|2.636|4.413,0.00028187,44.7
9,0.13806,0.36254,0.8964,0.7327,0.5524,0.5358,0.9104,0.89767,1.173|1.767|3.441|5.816,0.00027647,44.9
10,0.13556,0.16113,0.9044,0.74,0.5949,0.5782,0.8894,0.90087,0.577|1.111|2.180|2.938,0.00027042,43.9
11,0.13129,0.1524,0.8957,0.7818,0.605,0.6138,0.9135,0.89883,1.053|1.777|3.012|3.609,0.00026378,43.8
12,0.12414,0.18793,0.9107,0.7636,0.6273,0.6136,0.9094,0.9036,0.801|1.631|2.668|3.844,0.00025656,43.8
13,0.1195,0.16748,0.8973,0.7582,0.5942,0.5768,0.9074,0.90123,0.879|1.199|2.210|3.062,0.0002488,44.1
14,0.11912,0.16196,0.9081,0.7982,0.6358,0.6347,0.9054,0.90537,0.579|1.118|2.486|3.500,0.00024055,45.3
15,0.11867,0.15305,0.9185,0.7655,0.6087,0.6042,0.9071,0.90797,0.566|0.991|1.967|2.816,0.00023185,43.8
16,0.10853,0.15789,0.9091,0.7982,0.6335,0.6174,0.9238,0.9119,0.500|1.342|2.787|3.818,0.00022273,43.6
17,0.11003,0.16049,0.9117,0.7964,0.6237,0.6047,0.9114,0.9131,0.771|1.211|3.059|4.247,0.00021326,43.6
18,0.11259,0.13897,0.9084,0.7527,0.6397,0.601,0.9132,0.90973,0.417|1.180|2.248|3.583,0.00020346,43.8
19,0.10311,0.15971,0.9092,0.7745,0.6071,0.5956,0.9112,0.90977,0.938|1.381|2.710|3.651,0.00019341,44.3
20,0.09809,0.158,0.91,0.7564,0.6394,0.6104,0.9197,0.9092,0.816|1.491|2.257|3.158,0.00018314,44.2
21,0.0945,0.16796,0.9134,0.7945,0.6133,0.6013,0.9144,0.91087,0.897|1.153|2.839|4.015,0.00017271,43.7
22,0.09304,0.15766,0.9145,0.7727,0.6487,0.6262,0.9129,0.91263,0.340|1.113|2.369|3.500,0.00016217,43.4
23,0.09119,0.21641,0.9138,0.78,0.6547,0.6279,0.9184,0.9139,0.535|1.325|2.474|3.766,0.00015157,43.8
24,0.08795,0.16383,0.9162,0.7855,0.6498,0.6278,0.9225,0.91483,0.714|1.214|2.546|3.768,0.00014098,44.1
