epoch,train_loss,val_loss,val_qwk,val_accuracy,val_balanced_accuracy,val_f1_macro,val_auc_macro,lr,epoch_seconds
1,1.27461,1.00918,0.8156,0.7309,0.5209,0.516,0.9034,0.0003,76.6
2,0.96825,0.80176,0.8659,0.7727,0.6461,0.6187,0.9398,0.000298,47.5
3,0.88092,0.89319,0.8803,0.8273,0.6784,0.6891,0.9265,0.00029201,42.4
4,0.84987,0.85385,0.8491,0.8018,0.6517,0.6614,0.9337,0.00028218,42.6
5,0.77042,0.79375,0.8693,0.7673,0.6732,0.6334,0.93,0.00026879,45.2
6,0.72731,0.78311,0.8715,0.7764,0.6693,0.6379,0.9416,0.0002522,47.4
7,0.69267,0.99378,0.8959,0.8,0.6604,0.6474,0.9355,0.00023287,42.6
8,0.62507,1.02534,0.8992,0.7982,0.6524,0.645,0.9323,0.00021131,42.3
9,0.60484,0.84397,0.8763,0.78,0.6861,0.642,0.9407,0.00018812,42.5
10,0.56111,0.93031,0.8854,0.7945,0.6498,0.6268,0.9354,0.00016393,43.4
11,0.4934,1.10859,0.8946,0.8036,0.6738,0.6566,0.9318,0.00013941,43.4
12,0.48079,0.92387,0.8977,0.8073,0.674,0.6567,0.939,0.00011521,43.2
13,0.38359,1.05006,0.8982,0.8073,0.6522,0.6491,0.9363,9.201e-05,44.5
