epoch,train_loss,val_loss,val_qwk,val_accuracy,val_balanced_accuracy,val_f1_macro,val_auc_macro,lr,epoch_seconds
1,1.53943,1.36191,0.5878,0.6891,0.3565,0.3243,0.8443,0.0002,50.8
2,1.14316,0.953,0.8332,0.68,0.595,0.5,0.9168,0.00019867,31.9
3,0.9662,0.88938,0.83,0.7673,0.6021,0.5937,0.9255,0.00019467,31.9
4,0.89925,0.86891,0.8366,0.7455,0.6328,0.5957,0.9341,0.00018812,32.6
5,0.86696,0.80523,0.8677,0.8018,0.6882,0.6721,0.9366,0.00017919,45.0
6,0.80202,0.81202,0.8642,0.7855,0.6763,0.648,0.9372,0.00016813,35.9
7,0.7564,0.82233,0.8825,0.8164,0.6636,0.6734,0.9372,0.00015523,31.7
8,0.71254,0.81339,0.8815,0.8164,0.6841,0.6841,0.9406,0.00014086,31.9
9,0.67424,0.87569,0.8785,0.8036,0.6683,0.6586,0.9396,0.0001254,31.9
10,0.6387,0.89248,0.8685,0.7964,0.6869,0.6648,0.9399,0.00010928,31.9
11,0.62021,0.84725,0.8851,0.8091,0.6803,0.6712,0.9412,9.293e-05,31.8
12,0.58885,0.90819,0.8949,0.8073,0.6779,0.6698,0.939,7.68e-05,31.9
13,0.52068,0.91736,0.8857,0.8127,0.6914,0.6806,0.9412,6.133e-05,31.9
14,0.52119,0.96772,0.8852,0.8164,0.6686,0.6701,0.9372,4.694e-05,31.9
15,0.53938,0.96547,0.8767,0.8109,0.6748,0.6691,0.9396,3.402e-05,32.0
16,0.46873,0.92518,0.8921,0.8145,0.6777,0.675,0.9406,2.294e-05,32.0
17,0.49689,0.92683,0.8945,0.8218,0.7042,0.6939,0.9413,1.398e-05,31.9
