id,readable,width,height,aspect_ratio,mean_intensity,file_kb
c0a117de7d0a,True,2048,1536,1.333,41.31,1895.8
6e68e742f5bc,True,3216,2136,1.506,68.51,2573.9
a6731dd737af,True,1050,1050,1.0,44.61,1061.4
64c6c6ee0d98,True,2588,1958,1.322,60.86,5132.6
4c53cc97ea13,True,2048,1536,1.333,18.35,1785.1
c96f743915b5,True,2416,1736,1.392,69.29,1849.1
721214151233,True,1050,1050,1.0,63.19,939.9
a505981d1cab,True,2144,1424,1.506,48.18,2535.5
c1ebe785503a,True,2416,1736,1.392,61.7,1949.5
681c3c115684,True,2588,1958,1.322,41.13,4878.3
ea9e0fb6fb0b,True,2144,1424,1.506,57.13,2763.6
4a5a6efc0bef,True,1050,1050,1.0,71.07,942.6
2b48daf24be0,True,2416,1736,1.392,88.0,1858.3
bd34a0639575,True,1050,1050,1.0,70.47,955.9
6810410187a0,True,3216,2136,1.506,70.95,2676.4
fdd18ccbbdc5,True,2416,1736,1.392,47.17,1930.6
4926dea289f8,True,1050,1050,1.0,71.69,976.8
e251bdf05b85,True,819,614,1.334,36.22,326.5
2c9dfc270f1b,True,1050,1050,1.0,76.15,993.4
80e7cc0a0649,True,2588,1958,1.322,58.35,4210.6
7a77c3eb468c,True,1050,1050,1.0,74.72,998.5
54b322c66d01,True,2048,1536,1.333,41.57,1888.1
fb61230b99dd,True,1844,1226,1.504,49.3,831.1
9b95d6203406,True,640,480,1.333,72.89,345.3
9da74370835a,True,2416,1736,1.392,64.12,2374.4
1f4bf8e28b41,True,2416,1736,1.392,77.29,1752.0
26453eb7e989,True,640,480,1.333,116.69,359.3
8693ab1fd2be,True,819,614,1.334,34.81,338.5
060e00d1e2ab,True,819,614,1.334,41.81,294.6
f460608cf4cc,True,3216,2136,1.506,74.22,2903.7
d801c0a66738,True,2416,1736,1.392,60.54,2093.2
fb767cea406c,True,819,614,1.334,33.65,295.9
5d4e5fd34d91,True,2048,1536,1.333,44.28,1785.8
523b3f0fc646,True,2588,1958,1.322,39.92,5024.8
901a3552fe26,True,1050,1050,1.0,65.62,1044.4
7526cf435753,True,819,614,1.334,35.82,362.7
3f82631e9080,True,2048,1536,1.333,41.84,1880.7
248dec89b3a2,True,819,614,1.334,38.68,303.1
ae61e19fb766,True,2048,1536,1.333,45.93,1844.6
01d9477b1171,True,819,614,1.334,37.8,314.7
5b47043942f4,True,819,614,1.334,36.74,302.2
eed4afc8ec83,True,1050,1050,1.0,70.66,966.8
189cbbc9e5e3,True,2048,1536,1.333,43.11,1889.0
165cd2070ebd,True,3216,2136,1.506,44.46,2293.0
8ff2733f6aef,True,3388,2588,1.309,52.49,6687.7
fa6f3d8bb1d5,True,1050,1050,1.0,61.4,1015.2
4246ed634f25,True,2416,1736,1.392,89.25,1765.4
08037e4490e5,True,819,614,1.334,38.04,276.9
a06e41bd2634,True,2416,1736,1.392,68.17,2359.1
44a86263117b,True,1050,1050,1.0,74.55,930.6
e06cccc08c59,True,1050,1050,1.0,71.71,1003.2
0161338f53cc,True,1504,1000,1.504,66.39,1340.6
39f8935185e6,True,1050,1050,1.0,77.04,1036.5
c6e1e9fbf39b,True,2416,1736,1.392,64.71,2262.5
b96b518596b3,True,4288,2848,1.506,56.14,5703.1
ea6a53e54d0f,True,819,614,1.334,38.79,364.0
b2748ac28fc1,True,4288,2848,1.506,65.79,5327.3
fdc685055659,True,1050,1050,1.0,72.47,995.2
a70d0f12a641,True,1050,1050,1.0,79.81,1071.8
6e0f78e188ff,True,2588,1958,1.322,69.61,5330.6
7525ebb3434d,True,1504,1000,1.504,47.03,1350.6
0c55d58bebaf,True,2416,1736,1.392,60.81,2187.4
ee77763a6afb,True,2048,1536,1.333,33.38,1733.0
fe06dad6851c,True,2048,1536,1.333,36.09,1827.2
c06024f05a16,True,1050,1050,1.0,85.51,1049.0
a2b97d98f130,True,2588,1958,1.322,50.3,5151.4
6dc0281f11e3,True,1050,1050,1.0,67.31,915.8
7ae69d22075a,True,1050,1050,1.0,69.34,962.0
7ed4128b2a4e,True,1050,1050,1.0,75.33,1040.9
12a82fc7d73e,True,3388,2588,1.309,55.02,3506.8
2399d68d407f,True,2048,1536,1.333,40.76,1893.1
50916d67bb51,True,1050,1050,1.0,77.59,879.8
0c76fd494af6,True,3216,2136,1.506,65.68,2667.2
172df1330a60,True,2416,1736,1.392,80.04,1812.8
f952ad2e4356,True,819,614,1.334,38.64,282.5
9fefe2b44795,True,3388,2588,1.309,57.17,3799.3
eda29a9d78f3,True,1050,1050,1.0,59.93,985.0
4d009cebabc9,True,3216,2136,1.506,64.08,2854.8
d02b79fc3200,True,1050,1050,1.0,68.5,1036.7
259d30f693b6,True,1050,1050,1.0,72.11,964.5
61f403fdb434,True,2588,1958,1.322,55.56,5389.1
875d2ffcbf47,True,1050,1050,1.0,71.85,1002.7
e811f39a1243,True,2896,1944,1.49,49.53,2271.1
baaca2f7e1f0,True,1050,1050,1.0,68.88,709.2
aa8a1e814811,True,1050,1050,1.0,73.36,938.0
cac80797770f,True,2588,1958,1.322,53.08,4083.1
23148a40ecb0,True,2416,1736,1.392,56.78,2123.1
8e2a3978c244,True,1050,1050,1.0,81.57,980.6
6a905a7202d2,True,1050,1050,1.0,85.51,974.3
0684311afdfc,True,2416,1736,1.392,53.32,2166.0
a2163f0c2af5,True,1050,1050,1.0,75.37,922.8
a2811f512c1c,True,1050,1050,1.0,61.14,948.7
e9129ce55fd7,True,2588,1958,1.322,52.81,5080.4
15f440753916,True,2416,1736,1.392,88.62,1901.2
f3a268d2726d,True,2588,1958,1.322,51.12,5049.3
da3a2275c850,True,1050,1050,1.0,73.78,992.0
c1e6fa1ad314,True,2416,1736,1.392,48.03,2381.7
b6d9974443ce,True,2048,1536,1.333,43.69,1897.9
ababe19ed448,True,2588,1958,1.322,69.16,4496.7
5347b4c8e9b3,True,2588,1958,1.322,57.33,3860.3
b7bd4a6627b6,True,1050,1050,1.0,78.12,1002.0
08ee569d4721,True,1050,1050,1.0,75.43,1016.1
5ca779ace6e7,True,1050,1050,1.0,63.7,944.6
521d3e264d71,True,1504,1000,1.504,42.05,1283.5
5257cb536da2,True,819,614,1.334,56.01,384.5
a821b6ecef33,True,819,614,1.334,35.24,312.3
2fdfb80ea53c,True,1050,1050,1.0,81.86,841.6
cc671a73e1cb,True,1050,1050,1.0,79.02,1027.5
d51b3fe0fa1b,True,1504,1000,1.504,33.55,1324.3
eae70f527755,True,1050,1050,1.0,76.03,928.8
1c5ad36fb799,True,3216,2136,1.506,83.78,2371.6
328d141ed3aa,True,1050,1050,1.0,74.78,1014.2
8846b09384a4,True,2588,1958,1.322,39.13,5125.7
f00ce9b9d6f4,True,1050,1050,1.0,76.16,952.9
be8697eb2078,True,1050,1050,1.0,76.83,1029.1
677f087cd697,True,2416,1736,1.392,57.1,2123.6
8433a032b96c,True,2048,1536,1.333,46.78,1892.1
b1197f2cc9b3,True,2416,1736,1.392,54.19,1994.7
76e589911303,True,2416,1736,1.392,66.58,1867.1
175dd560810a,True,2416,1736,1.392,69.26,2080.1
6f3b62e5b7f5,True,819,614,1.334,37.17,343.7
1e036f2e7095,True,2588,1958,1.322,38.51,5152.7
2a3378bcfbcc,True,2416,1736,1.392,59.52,1784.7
45c39ab9e797,True,2588,1958,1.322,43.82,5215.0
43ddd0ab0cc4,True,3388,2588,1.309,59.43,6974.2
8bed09514c3b,True,2416,1736,1.392,81.58,1816.9
a86128b601a7,True,1050,1050,1.0,78.59,986.3
4a0890b08532,True,3216,2136,1.506,87.25,2937.4
b4e15102cd7a,True,2588,1958,1.322,59.09,5074.8
e724866f5084,True,3216,2136,1.506,63.04,2630.2
1df1530b9b8d,True,1050,1050,1.0,67.5,1042.1
9f4132bd6ed6,True,1504,1000,1.504,56.91,1413.7
788ddb0b70b7,True,2588,1958,1.322,48.92,5027.2
27b68863349f,True,2416,1736,1.392,59.35,2358.7
5a36cea278ae,True,3216,2136,1.506,62.51,2053.1
ecb4500285ed,True,819,614,1.334,29.26,307.7
bb11db08584a,True,2416,1736,1.392,67.68,2493.2
6324d77cf926,True,1050,1050,1.0,70.28,1018.9
bb45257258cc,True,2416,1736,1.392,71.81,1803.2
b1b3e7d0a5f3,True,2416,1736,1.392,55.61,2193.3
26e231747848,True,1504,1000,1.504,51.4,1253.5
a80dab8eddf4,True,2416,1736,1.392,73.86,2345.0
e8d1c6c07cf2,True,1504,1000,1.504,61.54,1679.1
436fa3fd145a,True,2048,1536,1.333,14.95,1816.2
365f8c01d994,True,1050,1050,1.0,71.36,803.3
da0a1043abf7,True,1504,1000,1.504,65.3,1245.4
913b1890ed1e,True,3216,2136,1.506,85.42,2603.1
4189d4e631ec,True,2416,1736,1.392,52.31,2336.9
a11bf2edd470,True,2588,1958,1.322,74.2,5535.9
ab32db41c409,True,2588,1958,1.322,78.94,5590.0
f0267c42907c,True,2048,1536,1.333,45.04,1846.9
4a589edaea60,True,1050,1050,1.0,66.99,873.5
82deb07a6618,True,3216,2136,1.506,64.58,2713.1
b7e0f95353f2,True,3216,2136,1.506,65.61,2269.4
d25b8a8ad3c4,True,2588,1958,1.322,31.61,4777.4
6110ecb3bb1c,True,1050,1050,1.0,68.88,1010.7
6f4719c6bb4b,True,2588,1958,1.322,29.52,4840.7
f69835dc7c50,True,2416,1736,1.392,50.42,2282.4
ca2b54b95ade,True,1050,1050,1.0,88.61,974.0
9d9bfefa809c,True,3216,2136,1.506,98.29,2708.5
3cd9713c0ecb,True,1050,1050,1.0,76.71,942.5
