id,raw_h,raw_w,crop_h,crop_w,black_before,black_after,area_kept
c0a0828e01b4,2136,3216,2136,2708,0.254,0.1141,0.842
10fca1abf338,1226,1844,1226,1509,0.2846,0.1258,0.8183
486e852a3b4d,614,819,614,760,0.2025,0.1406,0.928
5c8482926a08,2136,3216,2136,2730,0.2536,0.1208,0.8489
b0b3b16fc305,1050,1050,1050,1050,0.2077,0.2077,1.0
c56e65f74187,1958,2588,1958,2588,0.0015,0.0015,1.0
d2dc86021c67,1050,1050,1050,1050,0.2086,0.2086,1.0
6d7d26025122,2588,3388,2556,3339,0.2441,0.2234,0.9734
71a39c660432,2136,3216,2136,2718,0.2532,0.1163,0.8451
7fdb177b8f7d,1050,1050,1050,1050,0.2087,0.2087,1.0
f68690db78d3,1536,2048,1380,1558,0.5245,0.3042,0.6835
d91273efb92a,2136,3216,2136,2714,0.2537,0.1156,0.8439
3435fd8675a2,1117,1476,1117,1476,0.0045,0.0045,1.0
66460ecab347,1536,2048,1376,1558,0.527,0.306,0.6815
f57cf3b6f48e,1536,2048,1379,1524,0.5252,0.2893,0.6681
b842b43cb7fb,1536,2048,1380,1524,0.5247,0.2891,0.6686
184a185e7447,614,819,614,760,0.2025,0.1405,0.928
12ab2f6397f0,1050,1050,1050,1050,0.2068,0.2068,1.0
8dba09a4e5ed,2588,3388,2521,3353,0.2482,0.2202,0.964
8329e80c10ac,1050,1050,1050,1050,0.2078,0.2078,1.0
a4ee03ecff60,1050,1050,1050,1050,0.2058,0.2058,1.0
bc7bf19b84e3,1050,1050,1050,1050,0.2056,0.2056,1.0
c57c164bca05,1958,2588,1958,2588,0.084,0.084,1.0
d7bc62d60e8c,1958,2588,1958,2588,0.0,0.0,1.0
ae8424cdb029,1958,2588,1958,2588,0.0,0.0,1.0
2a3378bcfbcc,1736,2416,1736,2349,0.1659,0.1421,0.9723
18cde9649e90,1536,2048,1381,1573,0.5245,0.3114,0.6906
8af50c9d0a86,1117,1476,1117,1476,0.0596,0.0596,1.0
bf1b7e21e774,1226,1844,1226,1510,0.2843,0.126,0.8189
be7f791a7877,1536,2048,1381,1524,0.5243,0.2889,0.669
a3802934bad7,480,640,480,640,0.0105,0.0105,1.0
e0d229db881a,1050,1050,1050,1050,0.2076,0.2076,1.0
86722fcd802c,1736,2416,1736,2314,0.166,0.1292,0.9578
331b87d1b9d1,1736,2416,1736,2320,0.1657,0.1312,0.9603
c4aef0d88d1b,1050,1050,1050,1050,0.2055,0.2055,1.0
e26bcae6c67b,1958,2588,1958,2588,0.0926,0.0926,1.0
73881f55a3ec,1736,2416,1736,2260,0.1653,0.1077,0.9354
72c31aa48e2c,1050,1050,1050,1050,0.2065,0.2065,1.0
80b5697f2a5e,1050,1050,1050,1050,0.2069,0.2069,1.0
d18f6431ebce,1050,1050,1050,1050,0.2073,0.2073,1.0
cfb17a7cc8d4,1050,1050,1050,1050,0.2076,0.2076,1.0
bfda2fd0533a,1736,2416,1736,2259,0.1665,0.1085,0.935
7877be80901c,2136,3216,2136,2795,0.254,0.1417,0.8691
b43440c6ebe4,1958,2588,1958,2588,0.0461,0.0461,1.0
27fca9f12b3c,1736,2416,1736,2270,0.1661,0.1125,0.9396
3b58b02c89ed,2136,3216,2136,2712,0.2535,0.1148,0.8433
1782142e17d9,1050,1050,1050,1050,0.2076,0.2076,1.0
2f2e1949ad56,1736,2416,1736,2283,0.1664,0.1179,0.945
191348830ddf,1958,2588,1958,2588,0.095,0.095,1.0
a15470303941,1736,2416,1736,2257,0.1671,0.1084,0.9342
8c4ceddeb1c6,1536,2048,1380,1572,0.5251,0.3114,0.6896
6efa36d59ada,1958,2588,1958,2588,0.0889,0.0889,1.0
7347f5133a6a,1736,2416,1736,2350,0.1657,0.1423,0.9727
ababe19ed448,1958,2588,1958,2588,0.0207,0.0207,1.0
207dd0487264,1050,1050,1050,1050,0.2062,0.2062,1.0
e96099b961b4,1736,2416,1736,2323,0.1665,0.1331,0.9615
ad570b850a4f,1958,2588,1958,2588,0.0941,0.0941,1.0
5d5b5da5f939,1050,1050,1050,1050,0.2075,0.2075,1.0
59fee5bc3479,1958,2588,1958,2588,0.0946,0.0946,1.0
0c38940e1f80,614,819,552,550,0.5242,0.2119,0.6037
