model,split,temperature,ece_before,mce_before,mean_confidence_before,accuracy_before,overconfidence_before,nll_before,brier_before,n_bins_before,ece_after,mce_after,mean_confidence_after,accuracy_after,overconfidence_after,nll_after,brier_after,n_bins_after,ece_delta,ece_delta_ci_low,ece_delta_ci_high,ece_change_real,nll_delta,brier_delta,n_boot
densenet121_aug,val,1.167,0.0493,0.3279,0.833,0.7964,0.0367,0.506,0.2844,15,0.0468,0.1756,0.8076,0.7964,0.0112,0.5003,0.2807,15,-0.0025,-0.0183,0.022,False,-0.0057,-0.0037,2000
densenet121_aug,test,1.167,0.0577,0.6842,0.8201,0.7655,0.0546,0.58,0.3186,15,0.0486,0.6996,0.7944,0.7655,0.029,0.5674,0.3126,15,-0.0091,-0.0266,0.0081,False,-0.0126,-0.006,2000
densenet121_long,val,1.3384,0.0857,0.6798,0.8326,0.8073,0.0254,0.5867,0.2918,15,0.0515,0.7081,0.7829,0.8073,-0.0244,0.564,0.2904,15,-0.0342,-0.0571,0.0025,False,-0.0227,-0.0014,2000
densenet121_long,test,1.3384,0.0569,0.3173,0.8223,0.7727,0.0496,0.5993,0.3176,15,0.0263,0.3058,0.7742,0.7727,0.0015,0.577,0.3116,15,-0.0306,-0.0443,0.0113,False,-0.0223,-0.006,2000
densenet121_ordinal,val,1.2486,0.1221,0.1827,0.7341,0.7673,-0.0332,0.7273,0.3457,15,0.1376,0.2212,0.6837,0.7673,-0.0836,0.7169,0.3593,15,0.0155,-0.003,0.0331,False,-0.0104,0.0135,2000
densenet121_ordinal,test,1.2486,0.1564,0.1984,0.7344,0.7236,0.0108,0.8012,0.3895,15,0.1684,0.2252,0.684,0.7236,-0.0396,0.776,0.3962,15,0.012,-0.0095,0.032,False,-0.0252,0.0067,2000
densenet121_ordinal_aug,val,1.2955,0.0879,0.1522,0.7741,0.7636,0.0105,0.6819,0.3333,15,0.0885,0.1553,0.7163,0.7636,-0.0473,0.6661,0.3393,15,0.0006,-0.0187,0.0312,False,-0.0159,0.0059,2000
densenet121_ordinal_aug,test,1.2955,0.1425,0.208,0.7726,0.7327,0.0398,0.7795,0.3646,15,0.1339,0.2003,0.715,0.7327,-0.0177,0.7414,0.366,15,-0.0086,-0.0261,0.0187,False,-0.0381,0.0014,2000
densenet121_weighted,val,1.326,0.0492,0.1525,0.839,0.7982,0.0408,0.5774,0.2828,15,0.0285,0.1372,0.7896,0.7982,-0.0085,0.5555,0.279,15,-0.0207,-0.0362,0.0159,False,-0.0219,-0.0038,2000
densenet121_weighted,test,1.326,0.0633,0.6734,0.8305,0.7964,0.0341,0.5504,0.2849,15,0.0332,0.4318,0.7833,0.7964,-0.0131,0.5372,0.2837,15,-0.0301,-0.0479,0.0089,False,-0.0132,-0.0012,2000
effnetb3_weighted,val,1.2535,0.044,0.255,0.7964,0.7982,-0.0017,0.576,0.278,15,0.0533,0.249,0.7659,0.7982,-0.0322,0.5671,0.2809,15,0.0093,-0.0144,0.0272,False,-0.0089,0.0029,2000
effnetb3_weighted,test,1.2535,0.0551,0.2623,0.7886,0.78,0.0086,0.6325,0.3065,15,0.0577,0.1896,0.7576,0.78,-0.0224,0.6164,0.3094,15,0.0026,-0.0201,0.023,False,-0.0161,0.0028,2000
resnet50_weighted,val,1.4294,0.0689,0.6796,0.8705,0.8073,0.0633,0.5332,0.2742,15,0.0381,0.2083,0.8137,0.8073,0.0064,0.5013,0.2645,15,-0.0308,-0.0454,0.0018,False,-0.032,-0.0097,2000
resnet50_weighted,test,1.4294,0.0746,0.4359,0.8604,0.8,0.0604,0.5355,0.2833,15,0.0495,0.6855,0.8026,0.8,0.0026,0.5096,0.2749,15,-0.0251,-0.0491,0.0026,False,-0.0259,-0.0084,2000
ensemble_gmean,val,1.2028,0.034,0.3822,0.8489,0.8255,0.0234,0.4661,0.2499,15,0.0238,0.3767,0.8206,0.8255,-0.0048,0.4591,0.2486,15,-0.0102,-0.0273,0.0148,False,-0.007,-0.0013,2000
ensemble_gmean,test,1.2028,0.0511,0.3583,0.8334,0.8091,0.0243,0.4882,0.2735,15,0.0272,0.1271,0.8064,0.8091,-0.0027,0.4809,0.2708,15,-0.0239,-0.0367,0.0128,False,-0.0073,-0.0027,2000
