model,split,QWK,accuracy,balanced_acc,F1_macro,AUC_macro,recall_0,recall_1,recall_2,recall_3,recall_4
ensemble_gmean,test,0.9031,0.8091,0.6658,0.6661,0.9415,0.9705,0.5536,0.7533,0.5517,0.5
ensemble_mean,test,0.9001,0.8036,0.6651,0.6622,0.9423,0.9705,0.5357,0.7333,0.5862,0.5
densenet121_ordinal_aug,test,0.891,0.7564,0.6001,0.5884,0.9091,0.9594,0.375,0.66,0.5517,0.4545
densenet121_ordinal,test,0.8896,0.7527,0.5716,0.5749,0.8843,0.9594,0.3393,0.68,0.3793,0.5
densenet121_weighted,test,0.8896,0.7964,0.637,0.6406,0.9311,0.9705,0.5179,0.7267,0.3793,0.5909
densenet121_aug,test,0.8824,0.7655,0.6207,0.6071,0.9261,0.9705,0.3929,0.6533,0.6552,0.4318
resnet50_weighted,test,0.8814,0.8,0.6038,0.6173,0.9323,0.9779,0.4643,0.8,0.3448,0.4318
effnetb3_weighted,test,0.8583,0.78,0.6428,0.6201,0.921,0.9705,0.5536,0.66,0.6207,0.4091
densenet121_long,test,0.8455,0.7727,0.5927,0.5954,0.9227,0.9557,0.5,0.72,0.3103,0.4773
ensemble_gmean,val,0.9209,0.8255,0.7226,0.6963,0.9506,0.9926,0.75,0.68,0.7586,0.4318
densenet121_ordinal_aug,val,0.92,0.7964,0.6407,0.6293,0.9277,0.9852,0.6071,0.7067,0.5862,0.3182
densenet121_ordinal,val,0.9194,0.8164,0.702,0.6849,0.9283,0.9852,0.6786,0.68,0.6207,0.5455
ensemble_mean,val,0.9189,0.8182,0.715,0.6876,0.9539,0.9926,0.7321,0.66,0.7586,0.4318
densenet121_aug,val,0.9143,0.7964,0.68,0.6547,0.9457,0.9926,0.5357,0.6467,0.7931,0.4318
densenet121_long,val,0.9135,0.8073,0.662,0.6532,0.9263,0.9889,0.6786,0.6933,0.5172,0.4318
densenet121_weighted,val,0.8992,0.7982,0.6524,0.645,0.9323,0.9926,0.5714,0.68,0.5862,0.4318
resnet50_weighted,val,0.8949,0.8073,0.6779,0.6698,0.9389,0.9926,0.6071,0.68,0.6552,0.4545
effnetb3_weighted,val,0.8938,0.7982,0.6889,0.6654,0.942,0.9852,0.6429,0.6267,0.6897,0.5
