model,split,decoding,QWK,accuracy,balanced_acc,F1_macro,recall_0,recall_1,recall_2,recall_3,recall_4
densenet121_weighted,val,argmax,0.8992,0.7982,0.6524,0.645,0.9926,0.5714,0.68,0.5862,0.4318
densenet121_weighted,val,thresholded,0.9014,0.8364,0.6839,0.6983,0.9852,0.7857,0.78,0.4138,0.4545
densenet121_weighted,test,argmax,0.891,0.7964,0.637,0.6412,0.9705,0.5179,0.7267,0.3793,0.5909
densenet121_weighted,test,thresholded,0.8942,0.8073,0.6249,0.6269,0.952,0.625,0.8067,0.1724,0.5682
effnetb3_weighted,val,argmax,0.8938,0.7982,0.6889,0.6654,0.9852,0.6429,0.6267,0.6897,0.5
effnetb3_weighted,val,thresholded,0.9123,0.8418,0.6778,0.6983,0.9815,0.5536,0.86,0.4483,0.5455
effnetb3_weighted,test,argmax,0.8583,0.78,0.6428,0.6201,0.9705,0.5536,0.66,0.6207,0.4091
effnetb3_weighted,test,thresholded,0.8815,0.8073,0.609,0.6327,0.9631,0.2857,0.8933,0.4483,0.4545
resnet50_weighted,val,argmax,0.8949,0.8073,0.6779,0.6698,0.9926,0.6071,0.68,0.6552,0.4545
resnet50_weighted,val,thresholded,0.9072,0.8473,0.6717,0.7065,0.9852,0.5357,0.9,0.4828,0.4545
resnet50_weighted,test,argmax,0.8773,0.7964,0.6017,0.6142,0.9742,0.4643,0.7933,0.3448,0.4318
resnet50_weighted,test,thresholded,0.8842,0.7927,0.5739,0.5923,0.9299,0.3214,0.9333,0.2759,0.4091
ensemble_gmean,val,argmax,0.91,0.82,0.705,0.6922,0.9926,0.6786,0.6867,0.6897,0.4773
ensemble_gmean,val,thresholded,0.9109,0.8473,0.6622,0.6983,0.9889,0.4464,0.9267,0.5172,0.4318
ensemble_gmean,test,argmax,0.8935,0.8036,0.6383,0.647,0.9705,0.5179,0.7667,0.4138,0.5227
ensemble_gmean,test,thresholded,0.9011,0.8164,0.5931,0.6194,0.9557,0.2857,0.96,0.2414,0.5227
