model,metric,difference,ci_low,ci_high,prob_better,distinguishable
densenet121_aug,qwk,-0.0037,-0.0218,0.0156,0.333,False
densenet121_aug,accuracy,0.0273,-0.0073,0.0582,0.936,False
densenet121_long,qwk,0.0075,-0.0086,0.025,0.819,False
densenet121_long,accuracy,-0.0309,-0.0545,-0.0073,0.004,True
densenet121_ordinal,qwk,0.0023,-0.0088,0.0127,0.656,False
densenet121_ordinal,accuracy,0.04,0.0164,0.0636,1.0,True
densenet121_ordinal_aug,qwk,0.0058,-0.004,0.0156,0.885,False
densenet121_ordinal_aug,accuracy,0.04,0.0182,0.06,1.0,True
densenet121_weighted,qwk,0.001,-0.0149,0.0172,0.523,False
densenet121_weighted,accuracy,-0.0364,-0.0636,-0.0109,0.002,True
effnetb3_weighted,qwk,0.0159,-0.0037,0.0358,0.938,False
effnetb3_weighted,accuracy,-0.0255,-0.0527,0.0,0.022,False
resnet50_weighted,qwk,-0.0133,-0.0254,-0.0018,0.015,True
resnet50_weighted,accuracy,-0.0255,-0.0491,-0.0036,0.007,True
ensemble_gmean,qwk,0.0017,-0.0091,0.012,0.623,False
ensemble_gmean,accuracy,-0.0109,-0.0273,0.0055,0.073,False
