model,split,decoding,QWK,accuracy,balanced_acc,F1_macro,recall_0,recall_1,recall_2,recall_3,recall_4
densenet121_aug,val,argmax,0.9143,0.7964,0.68,0.6547,0.9926,0.5357,0.6467,0.7931,0.4318
densenet121_aug,val,thresholded,0.9109,0.8273,0.7398,0.7166,0.9742,0.8393,0.6733,0.6897,0.5227
densenet121_aug,test,argmax,0.8824,0.7655,0.6207,0.6071,0.9705,0.3929,0.6533,0.6552,0.4318
densenet121_aug,test,thresholded,0.8787,0.7927,0.6305,0.628,0.9631,0.7321,0.6933,0.2414,0.5227
densenet121_long,val,argmax,0.9135,0.8073,0.662,0.6532,0.9889,0.6786,0.6933,0.5172,0.4318
densenet121_long,val,thresholded,0.9079,0.7964,0.7102,0.666,0.9889,0.8214,0.54,0.6552,0.5455
densenet121_long,test,argmax,0.8455,0.7727,0.5927,0.5954,0.9557,0.5,0.72,0.3103,0.4773
densenet121_long,test,thresholded,0.853,0.7418,0.5731,0.5639,0.9557,0.5179,0.5933,0.2759,0.5227
densenet121_ordinal,val,argmax,0.9004,0.7673,0.6689,0.6241,0.9852,0.7857,0.4867,0.6552,0.4318
densenet121_ordinal,val,thresholded,0.9048,0.8073,0.7161,0.6793,0.9815,0.8393,0.5933,0.6207,0.5455
densenet121_ordinal,test,argmax,0.8868,0.7236,0.5839,0.5717,0.952,0.4464,0.5267,0.5172,0.4773
densenet121_ordinal,test,thresholded,0.8891,0.7636,0.6053,0.6022,0.952,0.5536,0.6533,0.3448,0.5227
densenet121_ordinal_aug,val,argmax,0.9084,0.7636,0.6318,0.6031,0.9815,0.6786,0.56,0.6207,0.3182
densenet121_ordinal_aug,val,thresholded,0.9087,0.8109,0.6624,0.6493,0.9852,0.7143,0.72,0.5517,0.3409
densenet121_ordinal_aug,test,argmax,0.8942,0.7327,0.6041,0.577,0.9594,0.4821,0.5267,0.6207,0.4318
densenet121_ordinal_aug,test,thresholded,0.9,0.7727,0.6241,0.6191,0.9594,0.4821,0.6733,0.4828,0.5227
densenet121_weighted,val,argmax,0.8992,0.7982,0.6524,0.645,0.9926,0.5714,0.68,0.5862,0.4318
densenet121_weighted,val,thresholded,0.9035,0.7964,0.7091,0.6655,0.9852,0.8214,0.56,0.7241,0.4545
densenet121_weighted,test,argmax,0.8896,0.7964,0.637,0.6406,0.9705,0.5179,0.7267,0.3793,0.5909
densenet121_weighted,test,thresholded,0.8906,0.76,0.6303,0.6098,0.952,0.6786,0.5733,0.3793,0.5682
effnetb3_weighted,val,argmax,0.8938,0.7982,0.6889,0.6654,0.9852,0.6429,0.6267,0.6897,0.5
effnetb3_weighted,val,thresholded,0.9034,0.7764,0.6905,0.6439,0.9815,0.7857,0.5067,0.7241,0.4545
effnetb3_weighted,test,argmax,0.8583,0.78,0.6428,0.6201,0.9705,0.5536,0.66,0.6207,0.4091
effnetb3_weighted,test,thresholded,0.8742,0.7545,0.6451,0.6125,0.9631,0.6607,0.5267,0.6207,0.4545
resnet50_weighted,val,argmax,0.8949,0.8073,0.6779,0.6698,0.9926,0.6071,0.68,0.6552,0.4545
resnet50_weighted,val,thresholded,0.9033,0.8182,0.7061,0.69,0.9852,0.8036,0.6667,0.6207,0.4545
resnet50_weighted,test,argmax,0.8814,0.8,0.6038,0.6173,0.9779,0.4643,0.8,0.3448,0.4318
resnet50_weighted,test,thresholded,0.8681,0.7745,0.5975,0.6002,0.9299,0.5714,0.7667,0.3103,0.4091
ensemble_gmean,val,argmax,0.9209,0.8255,0.7226,0.6963,0.9926,0.75,0.68,0.7586,0.4318
ensemble_gmean,val,thresholded,0.923,0.8236,0.7337,0.695,0.9926,0.7857,0.6533,0.8276,0.4091
ensemble_gmean,test,argmax,0.9031,0.8091,0.6658,0.6661,0.9705,0.5536,0.7533,0.5517,0.5
ensemble_gmean,test,thresholded,0.9048,0.7982,0.6801,0.6646,0.9705,0.6429,0.6667,0.6207,0.5
