model,qwk,qwk_ci,qwk_lo,qwk_hi,accuracy,accuracy_ci,accuracy_lo,accuracy_hi,balanced_accuracy,balanced_accuracy_ci,balanced_accuracy_lo,balanced_accuracy_hi
ensemble_gmean:thresholded,0.9048,"[0.881, 0.925]",0.881,0.9247,0.7982,"[0.765, 0.829]",0.7655,0.8291,0.6801,"[0.626, 0.729]",0.6263,0.7293
ensemble_gmean:argmax,0.9031,"[0.881, 0.923]",0.8808,0.923,0.8091,"[0.776, 0.840]",0.7764,0.84,0.6658,"[0.610, 0.718]",0.6096,0.7182
densenet121_ordinal_aug:thresholded,0.9,"[0.879, 0.918]",0.8795,0.918,0.7727,"[0.738, 0.807]",0.7382,0.8073,0.6241,"[0.569, 0.681]",0.5686,0.681
densenet121_ordinal_aug:argmax,0.8942,"[0.874, 0.912]",0.8743,0.9121,0.7327,"[0.696, 0.769]",0.6964,0.7691,0.6041,"[0.549, 0.657]",0.5491,0.6575
densenet121_weighted:thresholded,0.8906,"[0.867, 0.912]",0.8671,0.9123,0.76,"[0.724, 0.794]",0.7236,0.7945,0.6303,"[0.573, 0.681]",0.5728,0.6813
densenet121_weighted:argmax,0.8896,"[0.862, 0.915]",0.8624,0.9147,0.7964,"[0.762, 0.829]",0.7618,0.8291,0.637,"[0.582, 0.689]",0.5818,0.6887
densenet121_ordinal:thresholded,0.8891,"[0.865, 0.909]",0.8649,0.909,0.7636,"[0.731, 0.798]",0.7309,0.7982,0.6053,"[0.552, 0.654]",0.5521,0.6544
densenet121_ordinal:argmax,0.8868,"[0.866, 0.905]",0.8658,0.9048,0.7236,"[0.685, 0.760]",0.6854,0.76,0.5839,"[0.525, 0.641]",0.5247,0.6413
densenet121_aug:argmax,0.8824,"[0.856, 0.907]",0.8556,0.9071,0.7655,"[0.727, 0.800]",0.7273,0.8,0.6207,"[0.561, 0.673]",0.5609,0.6731
resnet50_weighted:argmax,0.8814,"[0.852, 0.909]",0.8523,0.9092,0.8,"[0.767, 0.833]",0.7673,0.8327,0.6038,"[0.550, 0.657]",0.5502,0.6573
densenet121_aug:thresholded,0.8787,"[0.850, 0.906]",0.8496,0.9056,0.7927,"[0.758, 0.824]",0.7582,0.8236,0.6305,"[0.575, 0.677]",0.5753,0.6768
effnetb3_weighted:thresholded,0.8742,"[0.846, 0.899]",0.8457,0.8987,0.7545,"[0.720, 0.789]",0.72,0.7891,0.6451,"[0.593, 0.700]",0.5925,0.6995
resnet50_weighted:thresholded,0.8681,"[0.837, 0.897]",0.8368,0.8968,0.7745,"[0.740, 0.807]",0.74,0.8073,0.5975,"[0.540, 0.650]",0.5402,0.6496
effnetb3_weighted:argmax,0.8583,"[0.824, 0.888]",0.8235,0.8884,0.78,"[0.744, 0.815]",0.7436,0.8145,0.6428,"[0.586, 0.693]",0.5857,0.6932
densenet121_long:thresholded,0.853,"[0.818, 0.886]",0.8179,0.8859,0.7418,"[0.707, 0.776]",0.7072,0.7764,0.5731,"[0.523, 0.627]",0.5227,0.6272
densenet121_long:argmax,0.8455,"[0.805, 0.880]",0.8046,0.8804,0.7727,"[0.738, 0.805]",0.7382,0.8055,0.5927,"[0.538, 0.647]",0.538,0.6471
