model,objective,QWK,accuracy,balanced_acc,recall_0,recall_1,recall_2,recall_3,recall_4
densenet121_weighted,(none) argmax,0.891,0.7964,0.637,0.9705,0.5179,0.7267,0.3793,0.5909
densenet121_weighted,fitted for accuracy,0.8942,0.8073,0.6249,0.952,0.625,0.8067,0.1724,0.5682
densenet121_weighted,fitted for balanced_accuracy,0.8909,0.76,0.6358,0.952,0.6786,0.5667,0.4138,0.5682
densenet121_weighted,fitted for qwk,0.8861,0.7327,0.6313,0.952,0.6429,0.4533,0.5172,0.5909
effnetb3_weighted,(none) argmax,0.8583,0.78,0.6428,0.9705,0.5536,0.66,0.6207,0.4091
effnetb3_weighted,fitted for accuracy,0.8815,0.8073,0.609,0.9631,0.2857,0.8933,0.4483,0.4545
effnetb3_weighted,fitted for balanced_accuracy,0.8719,0.7618,0.6505,0.9631,0.6607,0.5533,0.6207,0.4545
effnetb3_weighted,fitted for qwk,0.8896,0.7782,0.6177,0.9631,0.3036,0.7467,0.6207,0.4545
ensemble_gmean,(none) argmax,0.8935,0.8036,0.6383,0.9705,0.5179,0.7667,0.4138,0.5227
ensemble_gmean,fitted for accuracy,0.9011,0.8164,0.5931,0.9557,0.2857,0.96,0.2414,0.5227
ensemble_gmean,fitted for balanced_accuracy,0.8994,0.7691,0.671,0.9557,0.6071,0.58,0.6897,0.5227
ensemble_gmean,fitted for qwk,0.9058,0.78,0.6253,0.9557,0.2857,0.7533,0.5862,0.5455
resnet50_weighted,(none) argmax,0.8773,0.7964,0.6017,0.9742,0.4643,0.7933,0.3448,0.4318
resnet50_weighted,fitted for accuracy,0.8842,0.7927,0.5739,0.9299,0.3214,0.9333,0.2759,0.4091
resnet50_weighted,fitted for balanced_accuracy,0.8681,0.7745,0.5975,0.9299,0.5714,0.7667,0.3103,0.4091
resnet50_weighted,fitted for qwk,0.8872,0.7782,0.5688,0.9299,0.3214,0.8733,0.3103,0.4091
