model,split,decoding,QWK,accuracy,balanced_acc,F1_macro,recall_0,recall_1,recall_2,recall_3,recall_4
densenet121_weighted,val,argmax,0.8992,0.7982,0.6524,0.645,0.9926,0.5714,0.68,0.5862,0.4318
densenet121_weighted,val,thresholded,0.9137,0.7618,0.6719,0.6267,0.9815,0.7857,0.46,0.6552,0.4773
densenet121_weighted,test,argmax,0.891,0.7964,0.637,0.6412,0.9705,0.5179,0.7267,0.3793,0.5909
densenet121_weighted,test,thresholded,0.8861,0.7327,0.6313,0.5952,0.952,0.6429,0.4533,0.5172,0.5909
effnetb3_weighted,val,argmax,0.8938,0.7982,0.6889,0.6654,0.9852,0.6429,0.6267,0.6897,0.5
effnetb3_weighted,val,thresholded,0.9201,0.8127,0.6863,0.6746,0.9779,0.5536,0.7333,0.6897,0.4773
effnetb3_weighted,test,argmax,0.8583,0.78,0.6428,0.6201,0.9705,0.5536,0.66,0.6207,0.4091
effnetb3_weighted,test,thresholded,0.8896,0.7782,0.6177,0.6084,0.9631,0.3036,0.7467,0.6207,0.4545
resnet50_weighted,val,argmax,0.8949,0.8073,0.6779,0.6698,0.9926,0.6071,0.68,0.6552,0.4545
resnet50_weighted,val,thresholded,0.9127,0.8273,0.6792,0.6852,0.9852,0.5357,0.8,0.6207,0.4545
resnet50_weighted,test,argmax,0.8773,0.7964,0.6017,0.6142,0.9742,0.4643,0.7933,0.3448,0.4318
resnet50_weighted,test,thresholded,0.8872,0.7782,0.5688,0.5792,0.9299,0.3214,0.8733,0.3103,0.4091
ensemble_gmean,val,argmax,0.91,0.82,0.705,0.6922,0.9926,0.6786,0.6867,0.6897,0.4773
ensemble_gmean,val,thresholded,0.9223,0.7982,0.6605,0.6486,0.9889,0.4464,0.7,0.6897,0.4773
ensemble_gmean,test,argmax,0.8935,0.8036,0.6383,0.647,0.9705,0.5179,0.7667,0.4138,0.5227
ensemble_gmean,test,thresholded,0.9058,0.78,0.6253,0.612,0.9557,0.2857,0.7533,0.5862,0.5455
