id,true,pred,confidence,distance,cam_predicted,cam_confidence,hot_area_fraction,border_fraction,peak_value,mean_value,group
20f86e068276,0,0,0.9999921321868896,0,0,1.0,0.2172,0.1705,1.0,0.3001,correct
a45c30da0c72,0,0,0.9999881982803345,0,0,1.0,0.1554,0.1212,1.0,0.2134,correct
4da2961e62fe,1,1,0.991270899772644,0,1,0.9913,0.0709,0.1304,1.0,0.1655,correct
05a5183c92d0,1,1,0.9848624467849731,0,1,0.9849,0.198,0.0271,1.0,0.2379,correct
1bea04b2bb2d,2,2,0.9472954273223877,0,2,0.9474,0.0927,0.0,1.0,0.1423,correct
44c869174e3a,2,2,0.9453407526016235,0,2,0.9453,0.1028,0.0,1.0,0.1476,correct
bb7e0a2544cd,3,3,0.9122580885887146,0,3,0.9124,0.0508,0.5113,1.0,0.0763,correct
537e50fdf22e,3,3,0.8805928826332092,0,3,0.8807,0.0139,0.5028,1.0,0.0533,correct
84c663f39632,4,4,1.0,0,4,1.0,0.09,0.129,1.0,0.1157,correct
a5c9a8c726b2,4,4,1.0,0,4,1.0,0.0851,0.0,1.0,0.1157,correct
eaa0dfbd5024,4,1,0.9846402406692505,3,1,0.9846,0.087,0.0,1.0,0.1035,failure
73881f55a3ec,1,4,0.7197360992431641,3,4,0.7206,0.0787,0.1471,1.0,0.098,failure
fce93caa4758,4,1,0.6015222668647766,3,1,0.6011,0.2146,0.1618,1.0,0.2207,failure
8bed09514c3b,4,1,0.5243668556213379,3,1,0.5247,0.0798,0.0839,1.0,0.1962,failure
a8263d248523,0,3,0.3764670789241791,3,3,0.3762,0.0588,0.6422,1.0,0.067,failure
2d07162a13b1,0,2,0.8860186338424683,2,2,0.8861,0.0864,0.2721,1.0,0.1122,failure
